id;number;creation_date;is_merchant_subscription;modification_date;validation_date;filename;customer_code;service_code;account_number;start_date;end_date;active
1;SMS neural Cayman Islands;2020-03-30T08:26:25;true;2020-03-30T04:09:01;2020-03-30T10:53:58;Future;Borde;navig;neural conglomeration Forward;2020-03-29T12:13:24;2020-03-29T16:13:05;false
2;dynamic Bedfordshire;2020-03-29T12:30:14;false;2020-03-29T14:03:33;2020-03-30T03:26:39;Regional;South;missi;Silver copying RSS;2020-03-29T17:07:49;2020-03-30T01:08:32;false
3;Money Market Account;2020-03-30T07:14:31;false;2020-03-29T18:55:24;2020-03-30T01:13:28;feed;Multi;drive;firewall application Bedfordshire;2020-03-30T07:13:04;2020-03-29T22:05:52;false
4;Grocery Fish;2020-03-29T13:42:37;true;2020-03-30T05:17:37;2020-03-30T08:10:29;deposit Idaho;Cote ;custo;morph;2020-03-30T05:28:11;2020-03-30T03:02:04;false
5;Intranet Personal Loan Ac;2020-03-30T01:06:43;true;2020-03-30T00:47:46;2020-03-29T14:10:32;Solomon Islands Dollar infomediaries;Mouse;New Y;Investment Account Frozen magnetic;2020-03-30T07:39:45;2020-03-29T11:33:37;true
6;yellow unleash;2020-03-29T13:35:41;true;2020-03-30T06:11:13;2020-03-29T16:32:21;Group back up;optic;THX m;Team-oriented Shoes feed;2020-03-29T22:14:06;2020-03-29T17:01:39;true
7;transmitting overriding;2020-03-29T23:26:54;false;2020-03-30T03:05:01;2020-03-30T04:14:18;Kazakhstan Bedfordshire transmitting;XML B;niche;auxiliary Product;2020-03-30T06:12:26;2020-03-30T06:05:59;false
8;RSS;2020-03-30T01:44:42;false;2020-03-29T22:05:18;2020-03-29T17:15:25;bypassing Nigeria Associate;syndi;Visio;hierarchy;2020-03-30T05:48:29;2020-03-30T09:24:38;false
9;maximize Handmade Cotton ;2020-03-29T17:44:42;false;2020-03-29T19:19:45;2020-03-30T02:41:31;Solutions architect quantifying;Berks;Aweso;haptic navigate;2020-03-29T15:49:07;2020-03-29T18:49:53;true
10;Steel Danish Krone Credit;2020-03-29T17:16:36;false;2020-03-30T07:00:48;2020-03-29T19:11:28;visionary;hack ;Home ;Nevada invoice Gloves;2020-03-29T23:43:00;2020-03-30T01:07:53;true
