id;code;label;amount;percent;amount_in_percent;amount_transaction_max;amount_transaction_min;price_code;service_code;description;modification_date
1;system Tri;Cotton;49262;25368;false;40520;46866;Handm;input;Markets;2020-03-30T02:44:38
2;asymmetric;web services;80210;1215;true;96987;55600;succe;Tuval;Senior Optional Yemeni Rial;2020-03-30T09:55:49
3;Tuna magen;Wells;62755;69692;true;38420;90115;Unbra;Gener;olive;2020-03-30T00:36:43
4;one-to-one;holistic;25994;98621;false;69816;3231;dynam;Pound;Licensed Usability models;2020-03-29T21:47:34
5;District U;EXE Rustic Steel Shirt drive;81055;48037;true;98528;15041;Credi;trans;24/7;2020-03-30T10:23:15
6;SMS;Zimbabwe parse Customer;58514;76898;true;94476;75708;enhan;Respo;white SMTP;2020-03-29T17:34:22
7;Fantastic ;Kyrgyz Republic transmit;52016;30777;true;81638;55190;Calif;Burg;transmit Credit Card Account;2020-03-29T18:50:34
8;cyan Rubbe;Home Loan Account withdrawal;55481;43747;false;90415;72639;Luxem;empow;back-end Via indexing;2020-03-29T17:17:12
9;Practical ;Berkshire concept;63340;57964;false;34156;7586;Grani;enabl;deposit Chicken best-of-breed;2020-03-29T14:13:05
10;Mission Ra;Automated;82179;16893;false;27859;34761;Movie;Grani;Regional;2020-03-30T08:39:02
